Year,MinSalaries 
1967,6000.00
1968,10000.00
1969,10000.00
1970,12000.00
1971,12750.00
1972,13500.00
1973,15000.00
1974,16000.00
1975,16000.00
1976,19000.00
1977,19000.00
1978,21000.00
1979,21000.00
1980,30000.00
1981,32500.00
1982,33500.00
1983,35000.00
1984,40000.00
1985,60000.00
1986,60000.00
1987,62500.00
1988,62500.00
1989,68000.00
1990,100000.00
1991,100000.00
1992,109000.00
1993,109000.00
1994,109000.00
1995,109000.00
1996,122667.00
1997,150000.00
1998,170000.00
1999,200000.00
2000,200000.00
2001,200000.00
2002,200000.00
2003,300000.00
2004,300000.00
2005,316000.00
2006,327000.00
2007,380000.00
2008,390000.00
2009,400000.00
2010,400000.00
2011,414000.00
2012,480000.00
2013,490000.00
2014,500000.00
2015,507500.00
2016,507500.00
2017,535000.00
